meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
2024 China National Swimming Championships,55.22,22/04/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"WANG, Yichun",F,04/04/2005,,,112,112,821,Shenzhen,CHN
2024 China National Swimming Championships,55.22,22/04/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"LUO, Mingyu",F,09/02/2008,,,112,113,821,Shenzhen,CHN
2024 China National Swimming Championships,55.22,19/04/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"TANG, Muhan",F,04/09/2003,,,112,114,821,Shenzhen,CHN
Japan Open 2024 (50m),55.25,30/11/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"SUZUKI, Rio",F,14/09/2005,,,115,115,819,Tokyo,JPN
2024 China National Swimming Championships,55.25,22/04/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"LIU, Yaxin",F,16/06/1999,,,115,116,819,Shenzhen,CHN
2024 China National Swimming Championships,55.25,19/04/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"CHENG, Yujie",F,22/09/2005,,,115,117,819,Shenzhen,CHN
JPN Trial Olympic 2024,55.26,20/03/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"MASUDA, Aoi",F,20/06/1996,,,118,118,819,Tokyo,JPN
2024 China National Swimming Championships,55.28,22/04/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"LAO, Lihui",F,04/04/2001,,,119,119,818,Shenzhen,CHN
JPN Trial Olympic 2024,55.29,20/03/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"YAMAMOTO, Haduki",F,01/12/2002,,,120,120,818,Tokyo,JPN
The National Sports Festival â€“ Swimming Competition,55.30,15/09/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"YAMAMOTO, Haduki",F,01/12/2002,,,121,121,817,Saga Prefecture,JPN
59th MILO/MAS Age Group,55.31,26/04/2024,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","LI, Sum Yiu",F,15/04/2009,,,122,122,817,Kuala Lumpur,MAS
JPN Trial Olympic 2024,55.31,20/03/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"HIROSHITA, Natsuki",F,19/09/2002,,,122,123,817,Tokyo,JPN
Japan Inter-College Swimming Competition,55.32,05/09/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"JINNO, Yume",F,23/11/2002,,,124,124,816,Tokyo,JPN
JPN Trial Olympic 2024,55.33,21/03/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"MASUDA, Aoi",F,20/06/1996,,,125,125,816,Tokyo,JPN
JPN Trial Olympic 2024,55.36,20/03/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"JINNO, Yume",F,23/11/2002,,,126,126,814,Tokyo,JPN
The National Sports Festival â€“ Swimming Competition,55.37,15/09/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"OSHIMA, Sakura",F,07/04/2005,,,127,127,814,Saga Prefecture,JPN
JPN Trial Olympic 2024,55.37,21/03/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"HIROSHITA, Natsuki",F,19/09/2002,,,127,128,814,Tokyo,JPN
JPN Trial Olympic 2024,55.37,21/03/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"YAMAMOTO, Haduki",F,01/12/2002,,,127,129,814,Tokyo,JPN
Japan Inter-College Swimming Competition,55.38,06/09/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"OSHIMA, Sakura",F,07/04/2005,,,130,130,814,Tokyo,JPN
Japan Inter-College Swimming Competition,55.38,05/09/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"YAMAMOTO, Haduki",F,01/12/2002,,,130,131,814,Tokyo,JPN
2024 Hancock Prospecting QLD Championships,55.40,16/12/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"IKEE, Rikako",F,04/07/2000,,,132,132,813,Brisbane,AUS
2024 China National Swimming Championships,55.40,22/04/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"LIU, Zixuan",F,13/11/2000,,,132,133,813,Shenzhen,CHN
The National Sports Festival â€“ Swimming Competition,55.42,15/09/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"JINNO, Yume",F,23/11/2002,,,134,134,812,Saga Prefecture,JPN
JPN Trial Olympic 2024,55.42,20/03/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"YAMAMOTO, Haduki",F,01/12/2002,,,134,135,812,Tokyo,JPN
Japan Inter-College Swimming Competition,55.43,06/09/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"JINNO, Yume",F,23/11/2002,,,136,136,811,Tokyo,JPN
Mare Nostrum BCN 2024,55.45,29/05/2024,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","LI, Sum Yiu",F,15/04/2009,,,137,137,810,Barcelona,ESP
JPN Trial Olympic 2024,55.45,20/03/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"HIROSHITA, Natsuki",F,19/09/2002,,,137,138,810,Tokyo,JPN
JPN Trial Olympic 2024,55.46,20/03/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"MASUDA, Aoi",F,20/06/1996,,,139,139,810,Tokyo,JPN
Mare Nostrum MON 2024,55.48,02/06/2024,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","CHENG, Camille Lily Mei",F,09/05/1993,,,140,140,809,Monaco,MON
World Aquatics Championships - Doha 2024,55.48,11/02/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"LYU, Yue",F,22/08/2006,,,140,141,809,Doha,QAT
JPN Trial Olympic 2024,55.50,21/03/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"HIRAI, Mizuki",F,07/03/2007,,,142,142,808,Tokyo,JPN
JPN Trial Olympic 2024,55.51,20/03/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"MIZOGUCHI, Ayu",F,20/07/2005,,,143,143,808,Tokyo,JPN
World Aquatics Championships - Doha 2024,55.52,13/02/2024,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,144,144,807,Doha,QAT
World Aquatics Championships - Doha 2024,55.53,11/02/2024,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","TAM, Hoi Lam",F,21/04/1998,,,145,145,807,Doha,QAT
2024 China National Swimming Championships,55.54,22/04/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"LAO, Lihui",F,04/04/2001,,,146,146,807,Shenzhen,CHN
Japan Inter-College Swimming Competition,55.55,05/09/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"SUZUKI, Rio",F,14/09/2005,,,147,147,806,Tokyo,JPN
Japan Inter-College Swimming Competition,55.56,06/09/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"YAMAMOTO, Haduki",F,01/12/2002,,,148,148,806,Tokyo,JPN
2024 China National Swimming Championships,55.60,22/04/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"KONG, Yaqi",F,24/01/2008,,,149,149,804,Shenzhen,CHN
JPN Trial Olympic 2024,55.60,20/03/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"YAMAMOTO, Mayuka",F,14/02/2000,,,149,150,804,Tokyo,JPN
The National Sports Festival â€“ Swimming Competition,55.61,15/09/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"JINNO, Yume",F,23/11/2002,,,151,151,804,Saga Prefecture,JPN
2024 China National Swimming Championships,55.63,19/04/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"LUO, Mingyu",F,09/02/2008,,,152,152,803,Shenzhen,CHN
2024 China National Swimming Championships,55.64,22/04/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"WANG, Yichun",F,04/04/2005,,,153,153,802,Shenzhen,CHN
2024 China National Swimming Championships,55.64,19/04/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"LI, Jiaping",F,29/05/2004,,,153,154,802,Shenzhen,CHN
2024 China National Swimming Championships,55.66,19/04/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"LIU, Shuhan",F,29/01/2006,,,155,155,801,Shenzhen,CHN
Mare Nostrum MON 2024,55.67,02/06/2024,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","CHENG, Camille Lily Mei",F,09/05/1993,,,156,156,801,Monaco,MON
The National Sports Festival â€“ Swimming Competition,55.68,15/09/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"ENOMOTO, Yuzuki",F,05/12/2007,,,157,157,800,Saga Prefecture,JPN
Sette colli 2024,55.68,22/06/2024,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","CHENG, Camille Lily Mei",F,09/05/1993,,,157,158,800,Rome,ITA
Olympic Games Paris 2024,55.70,29/07/2024,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,159,159,800,Paris,FRA
2024 China National Swimming Championships,55.71,22/04/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"LYU, Yue",F,22/08/2006,,,160,160,799,Shenzhen,CHN
Japan Open 2024 (50m),55.72,30/11/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"SUZUKI, Rio",F,14/09/2005,,,161,161,799,Tokyo,JPN
Japan Inter-College Swimming Competition,55.73,05/09/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"KAWAGUCHI, Mami",F,05/10/2002,,,162,162,798,Tokyo,JPN
The National Sports Festival â€“ Swimming Competition,55.74,15/09/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"MIZOGUCHI, Ayu",F,20/07/2005,,,163,163,798,Saga Prefecture,JPN
JPN Trial Olympic 2024,55.74,20/03/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"MATSUMOTO, Shiho",F,03/04/2002,,,163,164,798,Tokyo,JPN
Japan Open 2024 (50m),55.75,30/11/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"JINNO, Yume",F,23/11/2002,,,165,165,797,Tokyo,JPN
The National Sports Festival â€“ Swimming Competition,55.75,15/09/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"OSHIMA, Sakura",F,07/04/2005,,,165,166,797,Saga Prefecture,JPN
JPN Trial Olympic 2024,55.75,20/03/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"HIRAI, Mizuki",F,07/03/2007,,,165,167,797,Tokyo,JPN
Mare Nostrum BCN 2024,55.77,30/05/2024,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,168,168,797,Barcelona,ESP
2024 TYR Pro Series TX,55.78,12/04/2024,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,169,169,796,San Antonio,USA
2024 China National Swimming Championships,55.79,22/04/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"QIAN, Xinan",F,06/08/2004,,,170,170,796,Shenzhen,CHN
Japan Inter-College Swimming Competition,55.80,05/09/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"KAWAGUCHI, Mami",F,05/10/2002,,,171,171,795,Tokyo,JPN
Mare Nostrum BCN 2024,55.80,29/05/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"SHIRAI, Rio",F,10/09/1999,,,171,172,795,Barcelona,ESP
Japan Open 2024 (50m),55.81,30/11/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"HIRAI, Mizuki",F,07/03/2007,,,173,173,795,Tokyo,JPN
Japan Inter-College Swimming Competition,55.81,05/09/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"MIZOGUCHI, Ayu",F,20/07/2005,,,173,174,795,Tokyo,JPN
2024 China National Swimming Championships,55.82,22/04/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"ZHENG, Huiyu",F,30/01/2007,,,175,175,794,Shenzhen,CHN
2024 China National Swimming Championships,55.82,22/04/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"LIU, Shuhan",F,29/01/2006,,,175,176,794,Shenzhen,CHN
World Aquatics Championships - Doha 2024,55.82,15/02/2024,Women's 100m Freestyle LCM Female,SGP,Singapore,"QUAH, Ting Wen",F,18/08/1992,,,175,177,794,Doha,QAT
Japan Inter-College Swimming Competition,55.83,05/09/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"SUZUKI, Rio",F,14/09/2005,,,178,178,794,Tokyo,JPN
Japan Inter-College Swimming Competition,55.83,05/09/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"KUBOTA, Riru",F,03/01/2003,,,178,179,794,Tokyo,JPN
Japan Inter-College Swimming Competition,55.84,06/09/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"OSHIMA, Sakura",F,07/04/2005,,,180,180,794,Tokyo,JPN
JPN Trial Olympic 2024,55.84,20/03/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"OSHIMA, Sakura",F,07/04/2005,,,180,181,794,Tokyo,JPN
JPN Trial Olympic 2024,55.85,20/03/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"SUZUKI, Rio",F,14/09/2005,,,182,182,793,Tokyo,JPN
Japan Open 2024 (50m),55.87,30/11/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"MIZOGUCHI, Ayu",F,20/07/2005,,,183,183,792,Tokyo,JPN
Japan Open 2024 (50m),55.88,30/11/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"JINNO, Yume",F,23/11/2002,,,184,184,792,Tokyo,JPN
Japan Inter-College Swimming Competition,55.88,05/09/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"FUNAKOSHI, Saya",F,03/05/2003,,,184,185,792,Tokyo,JPN
JPN Trial Olympic 2024,55.88,20/03/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"YAMAMOTO, Mayuka",F,14/02/2000,,,184,186,792,Tokyo,JPN
The National Sports Festival â€“ Swimming Competition,55.89,14/09/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"FUKUOKA, Yui",F,15/09/2007,,,187,187,791,Saga Prefecture,JPN
